ID,name,fields_id,value,company_id,type
property_stock_account_output_prd,property_stock_account_output,,,base.main_company
property_stock_account_input_prd,property_stock_account_input,,,base.main_company
property_stock_account_output_categ_id,property_stock_account_output_categ_id,,,base.main_company
property_stock_account_input_categ_id,property_stock_account_input_categ_id,,,base.main_company
default_cost_method,Cost Method Property,field_product_template_property_cost_method,,,selection
default_valuation,Valuation Property,field_product_template_property_valuation,,,selection
default_category_cost_method,Cost Method Property,field_product_category_property_cost_method,standard,,selection
default_category_valuation,Valuation Property,field_product_category_property_valuation,manual_periodic,,selection
